"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.21616605858863,0.992,0.862,0,"0","RPL32"
"2",0,1.21094547494634,0.974,0.554,0,"0","IL7R"
"3",0,1.19218883727469,0.992,0.772,0,"0","RPS3A"
"4",0,1.17177871435841,0.99,0.785,0,"0","RPS13"
"5",0,1.16255730597792,0.997,0.863,0,"0","EEF1A1"
"6",0,1.16005718671978,0.985,0.612,0,"0","RPL22"
"7",0,1.15526010803993,0.791,0.581,0,"0","FOS"
"8",0,1.15400763341884,0.993,0.912,0,"0","RPS12"
"9",0,1.15356988536546,0.99,0.634,0,"0","RPL39"
"10",0,1.1379828654135,0.999,0.373,0,"0","MT-CYB"
"11",0,1.1350380900896,0.99,0.889,0,"0","RPL34"
"12",0,1.13017213721582,0.999,0.373,0,"0","MT-CO3"
"13",0,1.1300218296018,0.865,0.49,0,"0","KLF2"
"14",0,1.12511683578489,0.989,0.739,0,"0","RPL21"
"15",0,1.12085602929159,0.993,0.866,0,"0","RPL11"
"16",0,1.12047818633915,0.991,0.86,0,"0","RPS6"
"17",0,1.11184880928296,0.769,0.251,0,"0","SELL"
"18",0,1.11063090998281,0.994,0.569,0,"0","SARAF"
"19",0,1.11045415821843,0.993,0.887,0,"0","RPS8"
"20",0,1.1102142468425,0.929,0.369,0,"0","LTB"
"21",0,2.15199499129393,0.914,0.267,0,"1","CCL4"
"22",0,2.07016287464706,0.923,0.166,0,"1","NKG7"
"23",0,1.98084291540907,0.961,0.208,0,"1","GZMK"
"24",0,1.9789645088136,0.64,0.09,0,"1","CCL4L2"
"25",0,1.90031796093356,0.949,0.274,0,"1","CST7"
"26",0,1.78175358577955,0.879,0.345,0,"1","DUSP2"
"27",0,1.70851953915634,0.991,0.451,0,"1","CCL5"
"28",0,1.66961121922002,0.771,0.212,0,"1","CD8A"
"29",0,1.5798486879298,0.912,0.224,0,"1","GZMA"
"30",0,1.34135742266773,0.672,0.112,0,"1","ITM2C"
"31",0,1.32061644255349,0.844,0.197,0,"1","CTSW"
"32",0,1.29187791705024,0.667,0.148,0,"1","CD8B"
"33",0,1.21588859832596,1,0.382,0,"1","HLA-B"
"34",0,1.19366546102637,0.523,0.106,0,"1","CMC1"
"35",0,1.1875821809292,0.997,0.381,0,"1","HLA-C"
"36",0,1.18742051174541,0.997,0.381,0,"1","HLA-A"
"37",0,1.18413954087347,0.818,0.242,0,"1","GZMM"
"38",0,1.17578343020492,0.728,0.11,0,"1","HLA-DRB1"
"39",0,1.16240494503081,0.792,0.17,0,"1","HLA-DPB1"
