"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CST3",6.04829104403631e-273,-1.25250408458813,0.006,0.373,1.22048464977609e-268,"0","CST3"
"IFITM3",5.989130889119e-214,-0.786169587840104,0.019,0.328,1.20854672211532e-209,"0","IFITM3"
"MT.RNR2",7.04826176304603e-205,-1.06899732405885,0.992,0.99,1.42226874116506e-200,"0","MT.RNR2"
"FTL",5.2343222134814e-203,-2.62857275201239,0.389,0.631,1.05623387945841e-198,"0","FTL"
"GSN",7.06368266890962e-199,-1.1183964400958,0.006,0.295,1.42538052575927e-194,"0","GSN"
"PSAP",9.76791083665861e-198,-1.48485850978578,0.106,0.412,1.97106672772934e-193,"0","PSAP"
"HLA.DRA",1.56647244510472e-182,-1.6880855872143,0.033,0.311,3.16098474697682e-178,"0","HLA.DRA"
"VIM",2.11553976625343e-174,-1.41503920745101,0.438,0.634,4.26894769432279e-170,"0","VIM"
"TIMP3",5.14984098391978e-166,-0.785460455950762,0.002,0.25,1.03918641214517e-161,"0","TIMP3"
"CD63",1.40635405997064e-162,-0.935402327224036,0.132,0.406,2.83788185761475e-158,"0","CD63"
"CEBPD",1.40871833248606e-160,-0.661332974040003,0.06,0.323,2.84265272312363e-156,"0","CEBPD"
"FTH1",3.30632093553235e-159,-1.79667846105611,0.393,0.608,6.67182501581072e-155,"0","FTH1"
"IL7R",1.42018518163399e-151,0.329778288512288,0.518,0.254,2.86579167801924e-147,"0","IL7R"
"CD74",5.70431321499572e-150,-2.12896538112944,0.282,0.503,1.15107336365399e-145,"0","CD74"
"MT.RNR1",1.99922207522739e-147,-0.856596996729797,0.82,0.879,4.03423022560135e-143,"0","MT.RNR1"
"CCL5",3.72363477236199e-147,0.280351963857254,0.62,0.333,7.51392260714926e-143,"0","CCL5"
"CTSB",5.03385478249932e-146,-1.29223614403834,0.045,0.287,1.01578155656054e-141,"0","CTSB"
"GRN",4.78712506247118e-145,-1.13984342226166,0.026,0.26,9.65993966356059e-141,"0","GRN"
"LMNA",1.57487323313273e-140,-0.638174830963201,0.043,0.278,3.17793669713853e-136,"0","LMNA"
"IGFBP4",2.6140931604674e-140,-0.625781676344766,0.012,0.232,5.27497858850717e-136,"0","IGFBP4"
"ANXA2",6.24830377560036e-140,-0.879556548067869,0.091,0.336,1.2608452188784e-135,"0","ANXA2"
"MT.ND3",1.0269557446901e-137,-0.753238250060565,0.943,0.941,2.07229399721015e-133,"0","MT.ND3"
"APLP2",4.74155456669242e-132,-0.538719899652381,0.043,0.268,9.56798296012864e-128,"0","APLP2"
"IGFBP7",2.09282669577749e-129,-0.735059717871468,0.008,0.213,4.22311498940939e-125,"0","IGFBP7"
"APOE",3.10919240072224e-129,-1.93226035123957,0.01,0.216,6.2740393454174e-125,"0","APOE"
"TIMP2",2.073803876076e-128,-0.517168309696331,0.007,0.21,4.18472884153377e-124,"0","TIMP2"
"SERPING1",3.65972394873187e-128,-0.477673656934695,0.002,0.201,7.38495695614603e-124,"0","SERPING1"
"FN1",4.50572541209393e-128,-1.40984237258674,0.003,0.204,9.09210330906435e-124,"0","FN1"
"LAPTM4A",4.8593869858614e-127,-0.405972340387616,0.039,0.256,9.80575699876971e-123,"0","LAPTM4A"
"A2M",3.42761033029691e-124,-0.476610505654458,0.002,0.196,6.91657488550614e-120,"0","A2M"
"LRP1",4.31314872885864e-123,-0.604248635829801,0.002,0.195,8.70350281996385e-119,"0","LRP1"
"CD59",1.04596605272062e-122,-0.392696425546785,0.018,0.22,2.11065489778493e-118,"0","CD59"
"NPC2",2.29909815828177e-121,-0.675522959593618,0.031,0.237,4.63935017359679e-117,"0","NPC2"
"LGALS3",1.82861024701112e-120,-0.758295110530748,0.066,0.283,3.68995261744374e-116,"0","LGALS3"
"KLF4",2.17594701567508e-118,-0.40190955642041,0.004,0.192,4.39084348293075e-114,"0","KLF4"
"GNAS",1.31407474158458e-117,-0.673326704197545,0.333,0.537,2.65167142104352e-113,"0","GNAS"
"RHOB",3.65411070741592e-117,-0.487650728123327,0.023,0.221,7.37362999649459e-113,"0","RHOB"
"CD9",1.38034561664366e-115,-0.734458992146992,0.028,0.225,2.78539941982525e-111,"0","CD9"
"MARCKS",2.97367615103276e-113,-0.396412008928607,0.002,0.181,6.000581105169e-109,"0","MARCKS"
"FCGRT",5.98908649518408e-112,-0.39657049882027,0.01,0.193,1.2085377638632e-107,"0","FCGRT"
"MGP",2.33979356142856e-111,-1.02058343437914,0.012,0.194,4.72146942760669e-107,"0","MGP"
"CD81",9.05811046608056e-111,-0.615244150987467,0.16,0.377,1.8278361109504e-106,"0","CD81"
"LYZ",1.33596717586929e-109,-1.25695665363626,0.011,0.191,2.69584816418665e-105,"0","LYZ"
"HSPB1",4.29284941244e-109,-0.437355195293994,0.072,0.276,8.66254082936268e-105,"0","HSPB1"
"MT.ND4",1.83420440760847e-108,-0.648741609402818,0.979,0.973,3.70124107411312e-104,"0","MT.ND4"
"HLA.DRB1",2.15387375705568e-105,-0.737345368253588,0.009,0.182,4.34630185436265e-101,"0","HLA.DRB1"
"RAC1",9.46528883721437e-104,-0.362174079912656,0.073,0.272,1.91000063446149e-99,"0","RAC1"
"SPP1",5.28262313416102e-103,-2.31838175201457,0.007,0.176,1.06598052224235e-98,"0","SPP1"
"S100A6",2.60233728372665e-102,-0.723408851962946,0.414,0.576,5.25125640483202e-98,"0","S100A6"
"GPNMB",2.80208596038864e-102,-0.88465097043561,0.003,0.167,5.65432925946823e-98,"0","GPNMB"
"APP",3.86053048020548e-102,-0.269369126895717,0.015,0.188,7.79016445600664e-98,"0","APP"
"SPARC",2.30306498837807e-101,-0.54195666159759,0.003,0.166,4.6473548400481e-97,"0","SPARC"
"TUBA1B",7.69258593085537e-101,-0.644998513112909,0.121,0.322,1.5522869149873e-96,"0","TUBA1B"
"MT.CO3",1.38125260460064e-99,-0.648895833570119,0.984,0.976,2.78722963082364e-95,"0","MT.CO3"
"COL1A1",2.73736836859712e-99,-1.34390410260424,0.014,0.182,5.52373563099212e-95,"0","COL1A1"
"NEAT1",3.29813163196528e-99,-0.65433045992727,0.188,0.389,6.65529982014275e-95,"0","NEAT1"
"MT.CYB",5.04443615355924e-99,-0.610006950609681,0.964,0.957,1.01791677142672e-94,"0","MT.CYB"
"HLA.DPA1",6.51881043364785e-99,-0.75721136789457,0.044,0.224,1.3154307574058e-94,"0","HLA.DPA1"
"GPX1",3.90900996220212e-98,-0.600415196501664,0.042,0.221,7.88799120272766e-94,"0","GPX1"
"MAFB",4.14508625522106e-98,-0.545837521982554,0.002,0.161,8.36436955441059e-94,"0","MAFB"
"PTMS",3.80796297456877e-96,-0.274772111673849,0.015,0.179,7.68408848638231e-92,"0","PTMS"
"TYROBP",3.99281641341913e-95,-0.951459708910225,0.031,0.201,8.05710424063846e-91,"0","TYROBP"
"MT2A",8.61630930884485e-95,-0.646268714133673,0.114,0.308,1.7386850554318e-90,"0","MT2A"
"CTSD",1.68109106901917e-93,-1.396130676217,0.159,0.352,3.39227366817378e-89,"0","CTSD"
"RTN4",1.86738949672564e-93,-0.431057130397812,0.079,0.265,3.76820526544267e-89,"0","RTN4"
"PDK4",5.64085360685117e-90,-0.342790348257231,0.002,0.148,1.1382678493265e-85,"0","PDK4"
"SAT1",1.32940671964409e-88,-0.557578253097812,0.064,0.237,2.68260981956981e-84,"0","SAT1"
"HLA.DQB1",2.18357424609805e-85,-0.605105838397135,0.025,0.178,4.40623447120126e-81,"0","HLA.DQB1"
"PLD3",3.82460779774192e-85,-0.825633669605152,0.036,0.196,7.71767607506343e-81,"0","PLD3"
"ACTG1",5.46475631424816e-85,-0.787582893485816,0.579,0.678,1.10273317665214e-80,"0","ACTG1"
"BRI3",2.14921835599844e-84,-0.458349542320936,0.044,0.205,4.33690772056925e-80,"0","BRI3"
"SEPP1",2.35243456435627e-84,-0.303680163510268,0,0.137,4.74697770741452e-80,"0","SEPP1"
"ADIRF",4.30380638251873e-84,-0.285309752980403,0.001,0.138,8.68465089928455e-80,"0","ADIRF"
"HLA.DPB1",5.66865895150535e-84,-0.748753279299289,0.079,0.248,1.14387868982426e-79,"0","HLA.DPB1"
"TUBB",1.48162006984296e-83,-0.398775389725848,0.11,0.288,2.98976113893611e-79,"0","TUBB"
"RPL8",1.80104458810551e-83,-0.471645053176162,0.489,0.627,3.63432787433811e-79,"0","RPL8"
"PRDX1",1.81050821607385e-83,-0.434966399859482,0.065,0.233,3.65342452921542e-79,"0","PRDX1"
"GLUL",2.33798487808608e-83,-0.472008006687048,0.096,0.271,4.7178196854899e-79,"0","GLUL"
"CALR",6.26418948601987e-83,-0.655812260859011,0.205,0.386,1.26405079638395e-78,"0","CALR"
"EGR1",6.85908953291613e-83,-0.516009673688904,0.046,0.207,1.38409567684715e-78,"0","EGR1"
"RPL37A",2.48601543688178e-82,-0.493524251090116,0.697,0.768,5.01653055008375e-78,"0","RPL37A"
"EMP1",4.2938123444814e-82,-0.279803084738963,0.002,0.136,8.66448392992902e-78,"0","EMP1"
"PECAM1",5.77838807453670e-81,-0.305949954146305,0.025,0.172,1.16602092956076e-76,"0","PECAM1"
"MGLL",2.26044856099222e-79,-0.389999413098385,0.002,0.134,4.56135915122619e-75,"0","MGLL"
"S100A11",3.66808575474686e-79,-0.818681005564043,0.198,0.374,7.40183024450368e-75,"0","S100A11"
"RAB31",1.83508139564201e-78,-0.269160669432046,0,0.129,3.70301074826601e-74,"0","RAB31"
"GRINA",2.76646735798937e-78,-0.283572168463841,0.03,0.177,5.58245448168675e-74,"0","GRINA"
"CD68",1.13795552044529e-77,-0.760569940228013,0.001,0.128,2.29628044470655e-73,"0","CD68"
"CSTB",1.51581671279018e-77,-1.12287533017747,0.113,0.282,3.0587665447393e-73,"0","CSTB"
"MT.CO2",2.6314682729836e-77,-0.612890547416544,0.959,0.942,5.31003982805361e-73,"0","MT.CO2"
"DCN",3.12887325591914e-77,-1.12948963677868,0.004,0.134,6.31375334311923e-73,"0","DCN"
"AHNAK",2.17555043660472e-76,-0.4800387092283,0.38,0.534,4.39004322602467e-72,"0","AHNAK"
"ENG",3.44020711610565e-76,-0.264738295475986,0.006,0.135,6.94199393958959e-72,"0","ENG"
"APOD",8.49437639755403e-76,-1.17629552885986,0.005,0.132,1.71408021326243e-71,"0","APOD"
"CLU",1.09944406863769e-75,-0.370826016863239,0.02,0.157,2.21856818610399e-71,"0","CLU"
"IFI27",6.13481114545978e-75,-0.476137167907928,0.006,0.134,1.23794354104233e-70,"0","IFI27"
"GSTP1",7.33028380464081e-75,-0.302300868345486,0.063,0.22,1.47917796893847e-70,"0","GSTP1"
"ITM2B",7.78738241349729e-75,-0.426615354177355,0.342,0.499,1.57141589721962e-70,"0","ITM2B"
